fragrance_id,note_id,position
36,8,base
36,26,base
37,18,top
37,78,top
37,12,middle
37,39,middle
37,9,base
37,8,base
38,115,top
38,87,top
38,110,middle
38,26,middle
38,111,base
38,66,base
39,109,top
39,112,top
39,113,middle
39,114,middle
39,8,base
39,26,base
40,87,top
40,116,middle
40,117,middle
40,10,base
40,26,base
41,36,top
41,3,top
41,25,middle
41,26,middle
41,26,base
42,118,top
42,119,top
42,25,middle
42,120,middle
42,31,base
43,121,top
43,10,middle
43,122,middle
43,7,base
43,31,base
44,1,top
44,124,top
44,105,middle
44,87,middle
44,123,base
44,10,base
44,8,base
45,126,top
45,108,top
45,127,middle
45,125,middle
45,128,base
45,31,base
46,14,top
46,18,top
46,102,middle
46,12,middle
46,129,base
46,32,base
47,18,top
47,102,top
47,12,middle
47,26,middle
47,130,base
47,31,base
48,36,top
48,2,top
48,54,middle
48,19,middle
48,9,base
48,10,base
49,28,top
49,29,top
49,18,top
49,22,middle
49,9,middle
49,30,base
49,31,base
49,33,base
50,132,top
50,133,top
50,102,middle
50,25,middle
50,87,middle
50,26,base
50,7,base
51,28,top
51,29,top
51,18,top
51,22,middle
51,9,middle
51,30,base
51,31,base
52,87,top
52,36,top
52,133,middle
52,25,middle
52,26,base
52,7,base
53,35,top
53,135,top
53,136,middle
53,137,middle
53,66,base
53,31,base
54,96,top
54,121,top
54,97,middle
54,25,middle
54,31,base
55,36,top
55,3,top
55,25,middle
55,26,middle
55,26,base
56,50,top
56,36,top
56,50,middle
56,9,middle
56,66,base
56,26,base
57,18,top
57,78,top
57,134,middle
57,31,base
58,138,top
58,18,top
58,139,middle
58,31,middle
58,31,base
59,67,top
59,87,top
59,7,middle
59,141,middle
59,66,base
59,31,base
60,60,top
60,142,middle
60,31,middle
60,33,base
61,138,top
61,18,top
61,143,middle
61,11,middle
61,10,base
61,31,base
62,18,top
62,144,top
62,1,middle
62,11,middle
62,10,base
63,2,top
63,145,top
63,19,middle
63,146,middle
63,10,base
63,11,base
63,31,base
64,147,top
64,148,top
64,7,middle
64,31,middle
64,8,base
65,25,top
65,123,top
65,149,middle
65,26,middle
65,8,base
66,22,top
66,4,top
66,52,middle
66,150,middle
66,7,base
66,31,base
67,137,top
67,109,top
67,151,middle
67,95,middle
67,25,base
67,31,base
68,4,top
68,19,top
68,113,middle
68,152,middle
68,26,base
68,25,base
68,11,base
69,153,top
69,124,top
69,154,middle
69,50,middle
69,33,base
69,31,base
70,155,top
70,105,top
70,21,middle
70,23,middle
70,26,base
70,31,base
71,7,top
71,128,top
71,81,middle
71,7,middle
71,31,base
71,10,base
72,26,top
72,45,top
72,10,middle
72,31,middle
72,26,base
73,156,top
73,157,top
73,158,middle
73,10,middle
73,10,base
74,29,top
74,22,top
74,144,middle
74,159,middle
74,31,base
75,1,top
75,55,top
75,136,middle
75,22,middle
75,136,base
75,66,base
76,36,top
76,87,top
76,26,middle
76,25,middle
76,102,base
76,26,base
77,115,top
77,55,top
77,6,middle
77,27,middle
77,9,base
77,111,base
78,18,top
78,39,top
78,36,middle
78,27,middle
78,12,base
78,10,base
79,160,top
79,160,middle
79,160,base
80,123,top
80,161,top
80,50,middle
80,12,middle
80,8,base
80,7,base
80,31,base
81,22,top
81,162,top
81,9,middle
81,12,middle
81,7,base
81,163,base
82,128,top
82,87,top
82,164,middle
82,11,middle
82,8,base
82,7,base
83,123,top
83,5,top
83,25,middle
83,165,middle
83,166,base
83,26,base
84,167,top
84,104,top
84,25,middle
84,26,middle
84,10,base
85,87,top
85,66,top
85,66,middle
85,8,middle
85,168,base
85,31,base
86,169,top
86,18,top
86,87,middle
86,89,middle
86,98,middle
86,8,base
86,170,base
87,48,top
87,19,top
87,87,middle
87,25,middle
87,8,base
87,100,base
88,171,top
88,94,top
88,50,middle
88,11,middle
88,7,base
88,33,base
89,172,top
89,96,top
89,18,middle
89,173,middle
89,89,middle
89,5,base
89,31,base
90,28,top
90,29,top
90,18,top
90,5,middle
90,102,middle
90,26,base
90,9,base
91,78,top
91,18,top
91,48,middle
91,50,middle
91,40,base
91,31,base
92,1,top
92,172,top
92,2,top
92,36,middle
92,174,middle
92,175,middle
92,45,middle
92,11,base
92,10,base
92,25,base
92,31,base
93,176,top
93,123,top
93,177,middle
93,7,middle
93,8,base
93,113,base
94,1,top
94,48,top
94,2,top
94,4,middle
94,36,middle
94,175,middle
94,67,middle
94,32,base
94,31,base
95,2,top
95,18,top
95,11,middle
95,11,middle
95,10,base
95,31,base
96,178,top
96,18,top
96,8,middle
96,12,middle
96,179,middle
96,129,middle
96,66,base
96,136,base
96,9,base
97,19,top
97,21,top
97,180,top
97,6,middle
97,181,middle
97,9,middle
97,11,base
97,7,base
97,10,base
98,22,top
98,55,top
98,87,middle
98,179,middle
98,9,base
98,8,base
99,4,top
99,38,top
99,32,middle
99,9,middle
99,11,base
100,14,top
100,18,top
100,48,top
100,36,middle
100,39,middle
100,6,middle
100,67,middle
100,25,base
100,95,base
100,9,base
101,87,top
101,54,top
101,25,middle
101,26,middle
101,182,base
101,133,base
101,151,base
102,18,top
102,36,top
102,110,middle
102,55,middle
102,136,middle
102,10,base
103,161,top
103,102,top
103,133,middle
103,26,middle
103,163,base
103,8,base
103,9,base
104,167,top
104,22,top
104,9,middle
104,161,middle
104,10,base
105,176,top
105,102,top
105,26,middle
105,133,middle
105,25,base
105,7,base
105,183,base
106,113,top
106,27,top
106,104,middle
106,11,middle
106,25,base
106,7,base
107,184,top
107,185,top
107,176,middle
107,26,middle
107,25,base
107,7,base
108,111,top
108,25,top
108,186,middle
108,31,middle
108,8,base
109,113,top
109,123,top
109,25,middle
109,102,middle
109,7,base
110,27,top
110,115,top
110,9,middle
110,98,middle
110,54,middle
110,25,base
111,31,top
111,17,top
111,48,middle
111,19,middle
111,7,base
111,8,base
112,8,top
112,25,top
112,80,middle
112,163,middle
112,7,base
112,31,base
113,88,top
113,18,top
113,22,middle
113,6,middle
113,89,middle
113,50,middle
113,187,middle
113,9,base
113,25,base
113,10,base
114,18,top
114,2,top
114,36,middle
114,102,middle
114,161,middle
114,6,middle
114,123,base
114,26,base
114,25,base
114,10,base
115,22,top
115,92,top
115,10,middle
115,8,middle
115,10,base
115,31,base
116,14,top
116,102,top
116,10,middle
116,25,middle
116,10,base
117,188,top
117,4,top
117,5,middle
117,22,middle
117,148,middle
117,7,base
117,31,base
118,189,top
118,136,middle
118,25,middle
118,8,base
119,55,top
119,136,top
119,22,middle
119,66,middle
119,8,base
120,190,top
120,8,top
120,50,middle
120,168,middle
120,11,base
120,31,base
121,113,top
121,112,top
121,102,middle
121,26,middle
121,25,base
121,7,base
122,18,top
122,5,top
122,193,middle
122,192,middle
122,25,base
122,26,base
123,194,top
123,7,top
123,50,middle
123,33,middle
123,25,base
123,31,base
124,5,top
124,18,top
124,87,middle
124,4,middle
124,10,base
124,11,base
125,161,top
125,123,top
125,26,middle
125,8,middle
125,25,base
126,22,top
126,8,top
126,80,middle
126,9,middle
126,25,base
127,22,top
127,18,top
127,50,middle
127,150,middle
127,31,base
127,130,base
128,138,top
128,18,top
128,195,top
128,139,middle
128,31,middle
128,31,base
129,18,top
129,5,top
129,48,middle
129,19,middle
129,78,middle
129,31,base
130,136,top
130,162,top
130,12,middle
130,163,middle
130,8,base
131,22,top
131,55,top
131,25,middle
131,7,middle
131,31,base
132,4,top
132,11,top
132,9,middle
132,25,middle
132,31,base
